municipio_csv,ibge_json,nome_json,nome_atualizado,territorio
Rio do Fogo,2408953,Rio do Fogo,Rio do Fogo,Mato Grande
Rodolfo Fernandes,2411007,Rodolfo Fernandes,Rodolfo Fernandes,Sertão do Apodi
Ruy Barbosa,2411106,Ruy Barbosa,Ruy Barbosa,Potengi
Santa Cruz,2411205,Santa Cruz,Santa Cruz,Trairi
Santa Maria,2409332,Santa Maria,Santa Maria,Potengi
Santana do Matos,2411403,Santana do Matos,Santana do Matos,Seridó
Santana do Seridó,2411429,Santana do Seridó,Santana do Seridó,Seridó
Santo Antônio,2411502,Santo Antônio,Santo Antônio,Agreste Litoral Sul
Senador Elói de Souza,2413102,Senador Elói de Souza,Senador Elói de Souza,Potengi
Senador Georgino Avelino,2413201,Senador Georgino Avelino,Senador Georgino Avelino,Agreste Litoral Sul
Presidente Juscelino,2410306,Serra Caiada,Serra Caiada,Trairi
Serra Negra do Norte,2413409,Serra Negra do Norte,Serra Negra do Norte,Seridó
Serra de São Bento,2413300,Serra de São Bento,Serra de São Bento,Trairi
Serra do Mel,2413359,Serra do Mel,Serra do Mel,Assu/Mossoró
Serrinha,2413508,Serrinha,Serrinha,Agreste Litoral Sul
Serrinha dos Pintos,2413557,Serrinha dos Pintos,Serrinha dos Pintos,Alto Oeste
Severiano Melo,2413607,Severiano Melo,Severiano Melo,Sertão do Apodi
São Bento do Norte,2411601,São Bento do Norte,São Bento do Norte,Mato Grande
São Bento do Trairí,2411700,São Bento do Trairí,São Bento do Trairí,Trairi
São Fernando,2411809,São Fernando,São Fernando,Seridó
São Francisco do Oeste,2411908,São Francisco do Oeste,São Francisco do Oeste,Alto Oeste
São Gonçalo do Amarante,2412005,São Gonçalo do Amarante,São Gonçalo do Amarante,Terras Potiguaras
São José de Mipibu,2412203,São José de Mipibu,São José de Mipibu,Agreste Litoral Sul
São José do Campestre,2412302,São José do Campestre,São José do Campestre,Trairi
São José do Seridó,2412401,São José do Seridó,São José do Seridó,Seridó
São João do Sabugi,2412104,São João do Sabugi,São João do Sabugi,Seridó
São Miguel,2412500,São Miguel,São Miguel,Alto Oeste
São Miguel do Gostoso,2412559,São Miguel do Gostoso,São Miguel do Gostoso,Mato Grande
São Paulo do Potengi,2412609,São Paulo do Potengi,São Paulo do Potengi,Potengi
São Pedro,2412708,São Pedro,São Pedro,Potengi
São Rafael,2412807,São Rafael,São Rafael,Assu/Mossoró
São Tomé,2412906,São Tomé,São Tomé,Potengi
São Vicente,2413003,São Vicente,São Vicente,Seridó
Sítio Novo,2413706,Sítio Novo,Sítio Novo,Trairi
Taboleiro Grande,2413805,Taboleiro Grande,Taboleiro Grande,Seridó
Taipu,2413904,Taipu,Taipu,Mato Grande
Tangará,2414001,Tangará,Tangará,Trairi
Tenente Ananias,2414100,Tenente Ananias,Tenente Ananias,Alto Oeste
Tenente Laurentino Cruz,2414159,Tenente Laurentino Cruz,Tenente Laurentino Cruz,Seridó
Tibau,2411056,Tibau,Tibau,Assu/Mossoró
Tibau do Sul,2414209,Tibau do Sul,Tibau do Sul,Agreste Litoral Sul
Timbaúba dos Batistas,2414308,Timbaúba dos Batistas,Timbaúba dos Batistas,Seridó
Touros,2414407,Touros,Touros,Mato Grande
Triunfo Potiguar,2414456,Triunfo Potiguar,Triunfo Potiguar,Sertão do Apodi
Umarizal,2414506,Umarizal,Umarizal,Sertão do Apodi
Upanema,2414605,Upanema,Upanema,Sertão do Apodi
Venha-Ver,2414753,Venha-Ver,Venha-Ver,Alto Oeste
Vera Cruz,2414803,Vera Cruz,Vera Cruz,Agreste Litoral Sul
Vila Flor,2415008,Vila Flor,Vila Flor,Agreste Litoral Sul
Viçosa,2414902,Viçosa,Viçosa,Alto Oeste
Várzea,2414704,Várzea,Várzea,Agreste Litoral Sul
Água Nova,2400406,Água Nova,Água Nova,Alto Oeste
